Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,20,Beginning Stocks,2,(1000 60 KG BAGS),70802.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,125,Domestic Consumption,2,(1000 60 KG BAGS),8620.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,176,Ending Stocks,2,(1000 60 KG BAGS),66761.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,88,Exports,2,(1000 60 KG BAGS),16421.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,57,Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,56,Other Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,28,Production,2,(1000 60 KG BAGS),21000.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,107,Roast & Ground Exports,2,(1000 60 KG BAGS),3.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,75,Roast & Ground Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,53,Robusta Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,141,"Rst,Ground Dom. Consum",2,(1000 60 KG BAGS),8565.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,154,Soluble Dom. Cons.,2,(1000 60 KG BAGS),55.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,114,Soluble Exports,2,(1000 60 KG BAGS),395.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,82,Soluble Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,178,Total Distribution,2,(1000 60 KG BAGS),91802.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,86,Total Supply,2,(1000 60 KG BAGS),91802.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,29,Arabica Production,2,(1000 60 KG BAGS),24500.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,90,Bean Exports,2,(1000 60 KG BAGS),18347.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,58,Bean Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,20,Beginning Stocks,2,(1000 60 KG BAGS),66761.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,125,Domestic Consumption,2,(1000 60 KG BAGS),8750.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,176,Ending Stocks,2,(1000 60 KG BAGS),63547.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,88,Exports,2,(1000 60 KG BAGS),18964.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,57,Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,56,Other Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,28,Production,2,(1000 60 KG BAGS),24500.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,107,Roast & Ground Exports,2,(1000 60 KG BAGS),33.0
